author,avg_ratings,original_publish_year,title,awards,Root
Charles Darwin,"
  3.98
",1859,"
      The Origin of Species
",,undefined
Laini Taylor,"
  4.00
",2011,"
      Daughter of Smoke & Bone
","Locus Award Nominee for Best Young Adult Novel (2012), Audie Award for Fantasy (2012), Rhode Island Teen Book Award Nominee (2013), Milwaukee County Teen Book Award Nominee (2013), Children's Choice Book Award Nominee for Teen Choice Book of the Year (2012)
                      
                          The Inky Awards Nominee for Silver Inky (2012), California Young Readers Medal Nominee for Young Adult (2015), Oregon Spirit Book Award for Young Adult (2011), Lincoln Award Nominee (2014), Andre Norton Award Nominee (2011), Goodreads Choice Award Nominee for Young Adult Fantasy & Science Fiction and for Favorite Book (2011), The Inky Awards Shortlist for Silver Inky (2012), Missouri Gateway Readers Award Nominee (2014), Premio El Templo de las Mil Puertas Nominee for Mejor novela extranjera perteneciente a saga (2012)",undefined
Alyson Noel,"
  3.59
",2009,"
      Evermore
",,undefined
Rohinton Mistry,"
  4.34
",1995,"
      A Fine Balance
",,undefined
Robert Louis Stevenson,"
  3.82
",1886,"
      The Strange Case of Dr. Jekyll and Mr. Hyde
",,undefined
Stephen King,"
  4.30
",2011,"
      11/22/63
",,undefined
William Shakespeare,"
  4.03
",1603,"
      Hamlet
",,undefined
Philip Pullman,"
  4.13
",1997,"
      The Subtle Knife
",,undefined
John Berendt,"
  3.92
",1994,"
      Midnight in the Garden of Good and Evil
",,undefined
Arthur  Miller,"
  3.53
",1949,"
      Death of a Salesman
",,undefined
Albert Camus,"
  4.01
",1947,"
      The Plague
",,undefined
Tennessee Williams,"
  3.98
",1947,"
      A Streetcar Named Desire
",,undefined
Niccolò Machiavelli,"
  3.82
",1532,"
      The Prince
","All Editions

 | 

Add a New Edition


 | 

Combine",undefined
David Foster Wallace,"
  4.28
",1996,"
      Infinite Jest
",,undefined
Lisa See,"
  4.07
",2005,"
      Snow Flower and the Secret Fan
",,undefined
Stephanie Perkins,"
  4.00
",2010,"
      Anna and the French Kiss
","Georgia Peach Book Award Nominee for Honor book (2012), Pennsylvania Young Readers' Choice Award Nominee for Young Adults (2013), Milwaukee County Teen Book Award Nominee (2012), The Inky Awards Nominee for Silver Inky (2011), Lincoln Award Nominee (2013)
                      
                          CYBILS Award Nominee for Young Adult Fiction (2011), Goodreads Choice Award Nominee for Goodreads Author, Young Adult Fiction  (2010)",undefined
Kazuo Ishiguro,"
  4.13
",1989,"
      The Remains of the Day
",,undefined
Johann Wolfgang von Goethe,"
  3.93
",1808,"
      Faust, First Part
","All Editions

 | 

Add a New Edition


 | 

Combine",undefined
Ransom Riggs,"
  3.91
",2011,"
      Miss Peregrine's Home for Peculiar Children
",,undefined
George R.R. Martin,"
  4.14
",2005,"
      A Feast for Crows
",,undefined
James Patterson,"
  4.07
",2005,"
      The Angel Experiment
","Lincoln Award Nominee (2008), Missouri Gateway Readers Award Nominee (2008)",undefined
V.C. Andrews,"
  3.82
",1979,"
      Flowers in the Attic
",Books I Loved Best Yearly (BILBY) Awards for Secondary (1993),undefined
Ally Condie,"
  3.66
",2010,"
      Matched
",,undefined
Anthony Doerr,"
  4.33
",2014,"
      All the Light We Cannot See
",,undefined
Colleen Hoover,"
  4.29
",2012,"
      Hopeless
","All Editions

 | 

Add a New Edition


 | 

Combine",undefined
Annie Proulx,"
  3.86
",1993,"
      The Shipping News
",,undefined
Laura Hillenbrand,"
  4.36
",2010,"
      Unbroken: A World War II Story of Survival, Resilience and Redemption
","All Editions

 | 

Add a New Edition


 | 

Combine",undefined
Emmuska Orczy,"
  4.05
",1905,"
      The Scarlet Pimpernel
",,undefined
Chaim Potok,"
  4.04
",1966,"
      The Chosen
","Edward Lewis Wallant Award (1967), National Book Award Finalist for Fiction (1968)",undefined
Susanna Clarke,"
  3.82
",2004,"
      Jonathan Strange & Mr Norrell
",,undefined
Ki Longfellow,"
  3.83
",2011,"
      Houdini Heart
",,undefined
Cormac McCarthy,"
  4.17
",1985,"
      Blood Meridian, or the Evening Redness in the West
","All Editions

 | 

Add a New Edition


 | 

Combine",undefined
Nick Hornby,"
  3.93
",1995,"
      High Fidelity
","All Editions

 | 

Add a New Edition


 | 

Combine",undefined
Eoin Colfer,"
  3.84
",2001,"
      Artemis Fowl
","Garden State Book Award for Fiction (Grades 6-8) (2004), Massachusetts Children's Book Award (2003), Blue Hen Book Award for Chapter Book (2003), Rhode Island Teen Book Award Nominee (2002), Pacific Northwest Library Association Young Reader's Choice Award for Intermediate (2004)",undefined
Astrid Lindgren,"
  4.13
",1945,"
      Pippi Longstocking
",Lewis Carroll Shelf Award (1973),undefined
J.K. Rowling,"
  4.05
",2008,"
      The Tales of Beedle the Bard
",,undefined
Rick Riordan,"
  4.53
",2013,"
      The House of Hades
",,undefined
Gregory David Roberts,"
  4.24
",2003,"
      Shantaram
",,undefined
Jeffrey Eugenides,"
  3.83
",1993,"
      The Virgin Suicides
",,undefined
Bernhard Schlink,"
  3.76
",1995,"
      The Reader
",,undefined
Jodi Picoult,"
  4.13
",2007,"
      Nineteen Minutes
",,undefined
Erik Larson,"
  3.99
",2003,"
      The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America
",,undefined
Francine Rivers,"
  4.50
",1991,"
      Redeeming Love
",,undefined
Stephenie Meyer,"
  3.84
",2008,"
      The Host
",,undefined
John Steinbeck,"
  3.97
",1939,"
      The Grapes of Wrath
",,undefined
Edith Wharton,"
  3.95
",1920,"
      The Age of Innocence
",,undefined
Sarah J. Maas,"
  4.22
",2015,"
      A Court of Thorns and Roses
",,undefined
Dan Brown,"
  3.71
",2009,"
      The Lost Symbol
",,undefined
Jane Austen,"
  3.83
",1817,"
      Northanger Abbey
",,undefined
Leo Tolstoy,"
  4.12
",1867,"
      War and Peace
","All Editions

 | 

Add a New Edition


 | 

Combine",undefined
P.C. Cast,"
  3.92
",2007,"
      Betrayed
",,undefined
Samuel Beckett,"
  3.83
",1952,"
      Waiting for Godot
",,undefined
William Gibson,"
  3.90
",1984,"
      Neuromancer
","Hugo Award for Best Novel (1985), Nebula Award for Best Novel (1984), Locus Award Nominee for Best First Novel and Best SF Novel (1985), British Science Fiction Association Award Nominee for Best Novel (1984), Philip K. Dick Award (1985)
                      
                          John W. Campbell Memorial Award Nominee (1985), Ditmar Award for Best International Long Fiction (1985), SF Chronicle Award for Novel (1985), Tähtivaeltaja Award (1992), Prix Aurora Award Nominee (1985), Seiun Award 星雲賞 for Best Translated Long Story (1987)",undefined
James Joyce,"
  3.85
",1914,"
      Dubliners
",,undefined
J.R. Ward,"
  4.44
",2006,"
      Lover Awakened
","All About Romance (AAR) Annual Reader Poll for Best Romance & Best Paranormal & Most Tortured Hero & Strongest Heroine & Best Villain & Most-Hanky Read  & Honorable Mention for Best Couple (2007), Romantic Times Reviewers' Choice Award (RT Award) for Vampire Romance (2006)",undefined
C.S. Lewis,"
  4.08
",1952,"
      The Voyage of the Dawn Treader
","All Editions

 | 

Add a New Edition


 | 

Combine",undefined
Rebecca Wells,"
  3.83
",1997,"
      Divine Secrets of the Ya-Ya Sisterhood
",,undefined
T.S. Eliot,"
  4.10
",1922,"
      The Waste Land
",,undefined
Sarah J. Maas,"
  4.41
",2013,"
      Crown of Midnight
",Goodreads Choice Award Nominee for Young Adult Fantasy & Science Fiction (2013),undefined
Jonathan Safran Foer,"
  3.89
",2002,"
      Everything Is Illuminated
",,undefined
P.C. Cast,"
  3.94
",2008,"
      Untamed
",,undefined
George R.R. Martin,"
  4.32
",2011,"
      A Dance with Dragons
","All Editions

 | 

Add a New Edition


 | 

Combine",undefined
Sarah J. Maas,"
  4.47
",2014,"
      Heir of Fire
",Goodreads Choice Award Nominee for Young Adult Fantasy & Science Fiction (2014),undefined
Isaac Asimov,"
  4.20
",1950,"
      I, Robot
","All Editions

 | 

Add a New Edition


 | 

Combine",undefined
Maya Angelou,"
  4.24
",1969,"
      I Know Why the Caged Bird Sings
",Coretta Scott King Book Award for Author Honor (1971),undefined
Virginia Woolf,"
  3.78
",1927,"
      To the Lighthouse
",,undefined
Kiera Cass,"
  4.19
",2014,"
      The One
",,undefined
Stephen King,"
  3.97
",1974,"
      Carrie
",,undefined
Stephenie Meyer,"
  3.80
",2007,"
      The Twilight Collection
",,undefined
Upton Sinclair,"
  3.75
",1905,"
      The Jungle
",,undefined
John Steinbeck,"
  3.48
",1947,"
      The Pearl
",,undefined
Robert Graves,"
  4.21
",1934,"
      I, Claudius
","James Tait Black Memorial Prize for Fiction (1934), Hawthornden Prize (1935), Audie Award for Audio Drama (2012)",undefined
David Guterson,"
  3.84
",1994,"
      Snow Falling on Cedars
",,undefined
David Sedaris,"
  3.99
",2000,"
      Me Talk Pretty One Day
",,undefined
Diana Gabaldon,"
  4.37
",1993,"
      Voyager
",,undefined
Sergio Cobo,"
  4.46
",2014,"
      Una Historia de Ayer
",,undefined
P.C. Cast,"
  3.91
",2008,"
      Chosen
",,undefined
E.M. Forster,"
  3.91
",1908,"
      A Room with a View
",,undefined
William Peter Blatty,"
  4.18
",1971,"
      The Exorcist
",,undefined
C.S. Lewis,"
  4.01
",1956,"
      The Last Battle
","Audie Award for Inspirational/Faith-Based Fiction (2005), Carnegie Medal (1956)",undefined
Plato,"
  3.94
",3380,"
      The Republic
","All Editions

 | 

Add a New Edition


 | 

Combine",undefined
Charles Dickens,"
  4.00
",1853,"
      Bleak House
",,undefined
Neil Gaiman,"
  4.06
",2002,"
      Coraline
",,undefined
Kyle Keyes,"
  4.33
",2017,"
      Worm Holes
",,undefined
R.D. Ronald,"
  4.14
",2010,"
      The Elephant Tree
",,undefined
Rick Yancey,"
  4.04
",2013,"
      The 5th Wave
","Georgia Peach Book Award Nominee for Honor book (2014), South Carolina Book Award for Young Adult (2016), Keystone to Reading Book Award Nominee for High School (2015), Evergreen Teen Book Award (2016), Milwaukee County Teen Book Award Nominee (2014)
                      
                          The Inky Awards Nominee for Silver Inky (2013), Lincoln Award Nominee (2015), Goodreads Choice Award Nominee for Best Young Adult Fantasy & Science Fiction (2013), Carnegie Medal Nominee (2014), Green Mountain Book Award Nominee (2015), Louisiana Teen Readers' Choice (2016), Missouri Gateway Readers Award (2016), Oklahoma Sequoyah Award for High School (2016), Premio El Templo de las Mil Puertas Nominee for Mejor novela extranjera perteneciente a saga (2013)",undefined
Benjamin Alire Sáenz,"
  4.33
",2012,"
      Aristotle and Dante Discover the Secrets of the Universe
","Stonewall Book Award for Children’s and Young Adult Literature (2013), Michael L. Printz Award Nominee (2016), Pennsylvania Young Readers' Choice Award Nominee for Young Adults (2015), Lambda Literary Award for LGBT Children's/Young Adult (2013), Deutscher Jugendliteraturpreis Nominee for Jugendbuch (2015)
                      
                          Amelia Elizabeth Walden Award Nominee (2013), Lincoln Award Nominee (2016), Pura Belpré Award for Narrative (2013), Les Incorruptibles (2017)",undefined
Hermann Hesse,"
  4.13
",1919,"
      Demian: Die Geschichte von Emil Sinclairs Jugend
",,undefined
Stephen King,"
  4.00
",1983,"
      Pet Sematary
",,undefined
Richelle Mead,"
  4.19
",2011,"
      Bloodlines
",,undefined
Anonymous,"
  4.04
",1315,"
      The Arabian Nights
",,undefined
Terry Goodkind,"
  4.12
",1994,"
      Wizard's First Rule
",,undefined
Elizabeth Gaskell,"
  4.13
",1855,"
      North and South
",,undefined
Lauren Kate,"
  3.86
",2010,"
      Torment
",,undefined
Julie Kagawa,"
  3.89
",2010,"
      The Iron King
","RITA Award by Romance Writers of America for Best Young Adult Romance & Nominee for First Book (2011), Goodreads Choice Award Nominee for Young Adult Fantasy, Debut Author, Goodreads Author (2010)",undefined
Emily Dickinson,"
  4.23
",1890,"
      The Complete Poems of Emily Dickinson
",,undefined
William Makepeace Thackeray,"
  3.79
",1848,"
      Vanity Fair
",,undefined
Evelyn Waugh,"
  4.00
",1945,"
      Brideshead Revisited
",,undefined
W. Somerset Maugham,"
  4.10
",1915,"
      Of Human Bondage
",,undefined
Diana   Forbes,"
  4.34
",2017,"
      Mistress Suffragette
",,undefined
Richard Dawkins,"
  3.89
",2006,"
      The God Delusion
","All Editions

 | 

Add a New Edition


 | 

Combine",undefined
Max Brooks,"
  4.01
",2006,"
      World War Z: An Oral History of the Zombie War
",,undefined
Neal Stephenson,"
  4.02
",1992,"
      Snow Crash
",,undefined
Libba Bray,"
  3.78
",2003,"
      A Great and Terrible Beauty
","Iowa High School Book Award (2007), Lincoln Award Nominee (2007)",undefined
Sylvia Day,"
  4.18
",2012,"
      Bared to You
","All About Romance (AAR) Annual Reader Poll for Best Erotic Romance AND Most Tortured Hero (2013), Goodreads Choice Award Nominee for Romance and for Goodreads Author (2012)",undefined
H.G. Wells,"
  3.83
",1898,"
      The War of the Worlds
",,undefined
Anne Rice,"
  4.10
",1990,"
      The Witching Hour
",Locus Award for Best Dark Fantasy/Horror Novel (1991),undefined
Cassandra Clare,"
  4.31
",2009,"
      City of Glass
",,undefined
Victoria Aveyard,"
  4.04
",2015,"
      Red Queen
",,undefined
Kelley Armstrong,"
  4.01
",2008,"
      The Summoning
",Sunburst Award Nominee for Young Adult Work (2009),undefined
Dan Brown,"
  3.91
",2000,"
      Angels & Demons
",,undefined
Alan Paton,"
  3.89
",1948,"
      Cry, the Beloved Country
",,undefined
Dalton Trumbo,"
  4.18
",1939,"
      Johnny Got His Gun
","All Editions

 | 

Add a New Edition


 | 

Combine",undefined
Joanne Harris,"
  3.95
",1999,"
      Chocolat
","Whitbread Award Nominee for Novel (1999), Creative Freedom Award (2000), Whittaker Gold Award (2001)",undefined
Wilkie Collins,"
  3.99
",1859,"
      The Woman in White
",,undefined
Jennifer Niven,"
  4.15
",2015,"
      All the Bright Places
",,undefined
Greg Mortenson,"
  3.65
",2006,"
      Three Cups of Tea: One Man's Mission to Promote Peace ... One School at a Time
",,undefined
Cassandra Clare,"
  4.56
",2009,"
      The Mortal Instruments Boxed Set: City of Bones; City of Ashes; City of Glass
",,undefined
Arthur C. Clarke,"
  4.15
",1968,"
      2001: A Space Odyssey
",,undefined
Jeaniene Frost,"
  4.14
",2007,"
      Halfway to the Grave
",,undefined
Simone Elkeles,"
  4.05
",2008,"
      Perfect Chemistry
",,undefined
Neal Shusterman,"
  4.16
",2007,"
      Unwind
","Rhode Island Teen Book Award Nominee (2010), Evergreen Teen Book Award (2010), Sakura Medal for Middle School Book (2009), Florida Teens Read Nominee (2009), Eliot Rosewater Indiana High School Book Award (2010)
                      
                          California Young Readers Medal Nominee for Young Adult (2011), Gouden Lijst Nominee (2013), Green Mountain Book Award (2010), Missouri Gateway Readers Award Nominee (2010), Oklahoma Sequoyah Award for Intermediate (2010)",undefined
Deborah Harkness,"
  4.00
",2011,"
      A Discovery of Witches
",,undefined
Irvine Welsh,"
  4.06
",1993,"
      Trainspotting
",,undefined
Sarah Dessen,"
  4.12
",2004,"
      The Truth About Forever
","All Editions

 | 

Add a New Edition


 | 

Combine",undefined
Sarah Dessen,"
  4.05
",2006,"
      Just Listen
",,undefined
Chris Van Allsburg,"
  4.31
",1985,"
      The Polar Express
",,undefined
P.D. Eastman,"
  4.18
",1960,"
      Are You My Mother?
",,undefined
John Steinbeck,"
  4.04
",1945,"
      Cannery Row
",,undefined
Tatiana de Rosnay,"
  4.16
",2006,"
      Sarah's Key
",,undefined
Marcel Proust,"
  4.11
",1913,"
      Swann's Way
","French-American Foundation Translation Prize for Fiction (2003), Премія «Сковорода» (2001)",undefined
William Shakespeare,"
  4.06
",1598,"
      Much Ado About Nothing
",,undefined
Daniel Quinn,"
  3.98
",1992,"
      Ishmael
",,undefined
J.R.R. Tolkien,"
  4.53
",1955,"
      The Return of the King
",,undefined
Sherrilyn Kenyon,"
  4.56
",2008,"
      Acheron
",,undefined
D.H. Lawrence,"
  3.51
",1923,"
      Lady Chatterley's Lover
",,undefined
Kiera Cass,"
  4.01
",2013,"
      The Elite
",,undefined
Becca Fitzpatrick,"
  4.11
",2011,"
      Silence
",Goodreads Choice Award Nominee for Young Adult Fantasy & Science Fiction and for Goodreads Author (2011),undefined
J.D. Salinger,"
  4.17
",1953,"
      Nine Stories
",,undefined
Jane Austen,"
  4.14
",1818,"
      Persuasion
",,undefined
Pittacus Lore,"
  3.94
",2010,"
      I Am Number Four
",,undefined
Abraham   Verghese,"
  4.29
",2009,"
      Cutting for Stone
",,undefined
Charlaine Harris,"
  4.11
",2004,"
      Dead to the World
",,undefined
Jon Krakauer,"
  4.19
",1997,"
      Into Thin Air: A Personal Account of the Mount Everest Disaster
",,undefined
Michelle Hodkin,"
  4.04
",2011,"
      The Unbecoming of Mara Dyer
",,undefined
Max Lucado,"
  4.44
",1997,"
      You Are Special
",,undefined
Thomas Hardy,"
  3.94
",1874,"
      Far From the Madding Crowd
",,undefined
Susan Ee,"
  4.12
",2011,"
      Angelfall
",CYBILS Award Nominee for Fantasy & Science Fiction (Young Adult) (2011),undefined
Laura Ingalls Wilder,"
  4.19
",1935,"
      Little House on the Prairie
",,undefined
C.S. Lewis,"
  3.91
",1954,"
      The Horse and His Boy
",,undefined
Paullina Simons,"
  4.30
",2000,"
      The Bronze Horseman
",,undefined
Garth Nix,"
  4.14
",1995,"
      Sabriel
",,undefined
R.D. Ronald,"
  4.17
",2012,"
      The Zombie Room
",,undefined
Martin Heidegger,"
  4.03
",1927,"
      Being and Time
",,undefined
Dodie Smith,"
  4.00
",1948,"
      I Capture the Castle
",,undefined
Charles Dickens,"
  4.07
",1843,"
      A Christmas Carol
",,undefined
Shannon Hale,"
  4.10
",2003,"
      The Goose Girl
",,undefined
Alexandra Bracken,"
  4.17
",2012,"
      The Darkest Minds
",,undefined
Sarah J. Maas,"
  4.54
",2015,"
      Queen of Shadows
",,undefined
Randy Pausch,"
  4.25
",2008,"
      The Last Lecture
","All Editions

 | 

Add a New Edition


 | 

Combine",undefined
William Shakespeare,"
  3.98
",1601,"
      Twelfth Night
",,undefined
Tahereh Mafi,"
  4.39
",2014,"
      Ignite Me
",,undefined
Michael Cunningham,"
  3.94
",1998,"
      The Hours
",,undefined
Tennessee Williams,"
  3.71
",1945,"
      The Glass Menagerie
",,undefined
Chuck Palahniuk,"
  3.98
",1999,"
      Invisible Monsters
",,undefined
Melissa Marr,"
  3.69
",2007,"
      Wicked Lovely
",,undefined
Lemony Snicket,"
  3.95
",1999,"
      The Bad Beginning
",,undefined
Laura Ingalls Wilder,"
  4.18
",1932,"
      Little House in the Big Woods
",,undefined
Cecelia Ahern,"
  4.02
",2004,"
      P.S. I Love You
",,undefined
Ken Follett,"
  4.26
",2007,"
      World Without End
",,undefined
Diana Gabaldon,"
  4.32
",1996,"
      Drums of Autumn
","All About Romance (AAR) Annual Reader Poll for Favorite ""Other"" Romance & Honorable Mention for Favorite Couple (1998)",undefined
E. Lockhart,"
  3.84
",2014,"
      We Were Liars
",,undefined
Dan Simmons,"
  4.23
",1989,"
      Hyperion
",,undefined
P.C. Cast,"
  3.92
",2009,"
      Hunted
",Goodreads Choice Award Nominee for Favorite Book & Young Adult Series (2009),undefined
Peter S. Beagle,"
  4.14
",1968,"
      The Last Unicorn
",,undefined
William Shakespeare,"
  3.80
",1596,"
      The Merchant of Venice
","All Editions

 | 

Add a New Edition


 | 

Combine",undefined
Maggie Stiefvater,"
  4.04
",2012,"
      The Raven Boys
",,undefined
Donna Tartt,"
  3.92
",2013,"
      The Goldfinch
",,undefined
Colleen Hoover,"
  4.25
",2012,"
      Slammed
",,undefined
Rick Riordan,"
  4.08
",2010,"
      The Red Pyramid
","Pennsylvania Young Readers' Choice Award for Grades 6-8 (2012), New Mexico Land of Enchantment Award for Young Adult (2012), Goodreads Choice Award Nominee for Favorite Book and for Young Adult Fantasy (2010), Carnegie Medal Nominee (2011), Premio El Templo de las Mil Puertas for Mejor novela extranjera perteneciente a saga (2011)",undefined
Barbara Kingsolver,"
  3.97
",1988,"
      The Bean Trees
",,undefined
Orson Scott Card,"
  4.07
",1986,"
      Speaker for the Dead
",,undefined
Cormac McCarthy,"
  4.11
",2005,"
      No Country for Old Men
",,undefined
Edmond Rostand,"
  4.07
",1897,"
      Cyrano de Bergerac
",,undefined
Madeline Miller,"
  4.36
",2011,"
      The Song of Achilles
",,undefined
Jhumpa Lahiri,"
  4.16
",1999,"
      Interpreter of Maladies
",,undefined
Ellen Raskin,"
  4.01
",1978,"
      The Westing Game
",,undefined
William Shakespeare,"
  3.69
",1599,"
      Julius Caesar
",,undefined
Robert Penn Warren,"
  4.06
",1946,"
      All the King's Men
",,undefined
L.M. Montgomery,"
  4.20
",1909,"
      Anne of Avonlea
",,undefined
J.R. Ward,"
  4.34
",2006,"
      Lover Eternal
",,undefined
J.R. Ward,"
  4.34
",2006,"
      Lover Eternal
",,
W. Bruce Cameron,"
  4.34
",2010,"
      A Dog's Purpose
",,undefined
Diamante Lavendar,"
  4.33
",2018,"
      Finding Hope in the Darkness of Grief: Spiritual Insights Expressed Through Art, Poetry and Prose
",,undefined
Sun Tzu,"
  3.97
",5500,"
      The Art of War
",,undefined
Lionel Shriver,"
  4.05
",2003,"
      We Need to Talk About Kevin
","All Editions

 | 

Add a New Edition


 | 

Combine",undefined
Patrick Ness,"
  4.33
",2011,"
      A Monster Calls
","All Editions

 | 

Add a New Edition


 | 

Combine",undefined
C.S. Lewis,"
  3.95
",1953,"
      The Silver Chair
",,undefined
J.R.R. Tolkien,"
  4.44
",1954,"
      The Two Towers
",,undefined
Iain Banks,"
  3.81
",1984,"
      The Wasp Factory
",,undefined
Maria V. Snyder,"
  4.10
",2005,"
      Poison Study
","Locus Award Nominee for Best First Novel (2006), RITA Award by Romance Writers of America Nominee for First Book (2006), Compton Crook Award (2006)",undefined
Edith Hamilton,"
  4.01
",1942,"
      Mythology
",,undefined
Anne Rice,"
  3.88
",1988,"
      The Queen of the Damned
",,undefined
Rhonda Byrne,"
  3.69
",2006,"
      The Secret
",,undefined
James Dashner,"
  3.91
",2010,"
      The Scorch Trials
","All Editions

 | 

Add a New Edition


 | 

Combine",undefined
Christopher Paolini,"
  4.09
",2011,"
      Inheritance
",Premio El Templo de las Mil Puertas Nominee for Mejor novela extranjera perteneciente a saga (2011),undefined
Aleksandr Solzhenitsyn,"
  3.96
",1962,"
      One Day in the Life of Ivan Denisovich
",,undefined
Jasper Fforde,"
  3.87
",2001,"
      The Eyre Affair
",,undefined
Tim LaHaye,"
  3.83
",1995,"
      Left Behind
",,undefined
Lauren Oliver,"
  3.90
",2010,"
      Before I Fall
",,undefined
Patrick Ness,"
  3.97
",2008,"
      The Knife of Never Letting Go
","Guardian Children's Fiction Prize (2008), Manchester Book Award  Nominee for Longlist (2009), Odyssey Award Nominee (2011), James Tiptree Jr. Award (2008), Milwaukee County Teen Book Award Nominee (2010)
                      
                          Dioraphte Jongerenliteratuurprijs Nominee (2014), Carnegie Medal Nominee (2009), Green Mountain Book Award (2012)",undefined
Stephen King,"
  4.13
",1984,"
      The Talisman
",,undefined
Jane Austen,"
  4.08
",1811,"
      Sense and Sensibility
","All Editions

 | 

Add a New Edition


 | 

Combine",undefined
Kim Edwards,"
  3.68
",2005,"
      The Memory Keeper's Daughter
",,undefined
Gayle Forman,"
  4.02
",2011,"
      Where She Went
","Milwaukee County Teen Book Award Nominee (2012), The Inky Awards Nominee for Silver Inky (2011), Goodreads Choice Award for Young Adult Fiction (2011), The Inky Awards Shortlist for Silver Inky (2011)",undefined
C.S. Lewis,"
  3.97
",1951,"
      Prince Caspian
","All Editions

 | 

Add a New Edition


 | 

Combine",undefined
Michael  Grant,"
  3.86
",2008,"
      Gone
",Missouri Truman Readers Award Nominee (2011),undefined
Richard Wright,"
  3.99
",1940,"
      Native Son
",,undefined
Karen Marie Moning,"
  4.40
",2011,"
      Shadowfever
",,undefined
Elie Wiesel,"
  4.34
",1956,"
      Night
",,undefined
Michael Shaara,"
  4.31
",1974,"
      The Killer Angels
",Pulitzer Prize for Fiction (1975),undefined
Laura Hillenbrand,"
  4.20
",1999,"
      Seabiscuit: An American Legend
",,undefined
Karen Marie Moning,"
  4.07
",2006,"
      Darkfever
",,undefined
Nicole Krauss,"
  3.92
",2005,"
      The History of Love
",,undefined
Umberto Eco,"
  3.90
",1988,"
      Foucault's Pendulum
",,undefined
Thomas Pynchon,"
  3.96
",1973,"
      Gravity's Rainbow
","All Editions

 | 

Add a New Edition


 | 

Combine",undefined
Margaret Atwood,"
  3.95
",2000,"
      The Blind Assassin
",,undefined
A.S. Byatt,"
  3.87
",1990,"
      Possession
",,undefined
Marissa Meyer,"
  4.27
",2013,"
      Scarlet
",,undefined
Brandon Sanderson,"
  4.74
",2014,"
      Words of Radiance
",,undefined
Richard Matheson,"
  4.00
",1954,"
      I Am Legend and Other Stories
",,undefined
Robert Ludlum,"
  4.03
",1980,"
      The Bourne Identity
",Japan Adventure Fiction Association Prize 日本冒険小説協会大賞特別賞 for Best Translated Novel (1984),undefined
Andre Dubus III,"
  3.85
",1999,"
      House of Sand and Fog
",,undefined
Leigh Bardugo,"
  4.58
",2016,"
      Crooked Kingdom
",Goodreads Choice Award Nominee for Young Adult Fantasy & Science Fiction (2016),undefined
Scott Westerfeld,"
  3.85
",2005,"
      Pretties
",,undefined
Howard Zinn,"
  4.06
",1980,"
      A People's History of the United States
",,undefined
Italo Calvino,"
  4.05
",1979,"
      If on a Winter's Night a Traveler
","All Editions

 | 

Add a New Edition


 | 

Combine",undefined
Ursula K. Le Guin,"
  3.99
",1968,"
      A Wizard of Earthsea
","Lewis Carroll Shelf Award (1979), Boston Globe-Horn Book Award for Fiction (1969), Złota Sepulka for Książka autora zagranicznego (1984), Margaret A. Edwards Award (2004)",undefined
Stephen Hawking,"
  4.18
",1988,"
      A Brief History of Time
",,undefined
Sophocles,"
  3.71
",6429,"
      Oedipus Rex
","City Dionysia, 2nd Prize",undefined
Ursula K. Le Guin,"
  4.08
",1969,"
      The Left Hand of Darkness
","All Editions

 | 

Add a New Edition


 | 

Combine",undefined
Tamora Pierce,"
  4.24
",1983,"
      Alanna: The First Adventure
","Preis der Leseratten des ZDF, NSK Neustadt Prize for Children's Literature Nominee (2013), Margaret A. Edwards Award (2013)",undefined
Tom Stoppard,"
  4.06
",1966,"
      Rosencrantz and Guildenstern Are Dead
","All Editions

 | 

Add a New Edition


 | 

Combine",undefined
Janet Evanovich,"
  4.04
",1994,"
      One for the Money
","Anthony Award Nominee for Best Novel (1995), Shamus Award Nominee for Best First PI Novel (1995), Dilys Award (1995), CWA New Blood Dagger (1995), Agatha Award Nominee for Best First Novel (1994)
                      
                          Edgar Award Nominee for Best First Novel (1995)",undefined
David McCullough,"
  4.05
",2001,"
      John Adams
",,undefined
J.R. Ward,"
  4.32
",2007,"
      Lover Unbound
","All About Romance (AAR) Annual Reader Poll for Most Tortured Hero & Honorable Mention for Guiltiest Pleasure Romance (2008), Romantic Times Reviewers' Choice Award (RT Award) for Vampire Romance (2007)",undefined
Jandy Nelson,"
  4.14
",2014,"
      I'll Give You the Sun
",,undefined
Shirley Jackson,"
  3.83
",1959,"
      The Haunting of Hill House
",,undefined
Dean Koontz,"
  4.18
",1987,"
      Watchers
",,undefined
Haruki Murakami,"
  3.92
",2009,"
      1Q84
","Andrew Carnegie Medal Nominee for Fiction (2012), Premi Ictineu for Millor novel·la traduïda (2012), Goodreads Choice Award for Fiction (2011), International Dublin Literary Award Nominee for Shortlist (2013)",undefined
Clement C. Moore,"
  4.37
",1823,"
      The Night Before Christmas
",,undefined
Marissa Meyer,"
  4.42
",2014,"
      Cress
",,undefined
Marie Lu,"
  4.34
",2013,"
      Champion
",,undefined
Robin Hobb,"
  4.15
",1995,"
      Assassin's Apprentice
","Locus Award Nominee for Fantasy (1996), British Fantasy Award Nominee for Best Novel (1997), Compton Crook Award (1996)) Nominee (1996)",undefined
