Number,jstooltiptrigger_URL,Image,Title_URL,Title,Author_URL,Author,minirating,greytext,smalltext,progresstrigger,wtrtoread__spancontains_class_progresstrigger,myrating
3265,https://www.goodreads.com/book/show/293101.The_Amityville_Horror,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1306079371i/293101._SY75_.jpg,https://www.goodreads.com/book/show/293101.The_Amityville_Horror,The Amityville Horror,https://www.goodreads.com/author/show/106463.Jay_Anson,Jay Anson," 3.85 avg rating — 108,610 ratings",and,and,Want to Read,Want to Read,Rate this book
3269,https://www.goodreads.com/book/show/83017.The_Tartar_Steppe,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327904364i/83017._SY75_.jpg,https://www.goodreads.com/book/show/83017.The_Tartar_Steppe,The Tartar Steppe,https://www.goodreads.com/author/show/47421.Dino_Buzzati,Dino Buzzati," 4.19 avg rating — 17,636 ratings",and,and,Want to Read,Want to Read,Rate this book
3270,https://www.goodreads.com/book/show/9395215-everlasting,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1362336387i/9395215._SY75_.jpg,https://www.goodreads.com/book/show/9395215-everlasting,"Everlasting (The Immortals, #6)",https://www.goodreads.com/author/show/200317.Alyson_Noel,Alyson Noel," 3.91 avg rating — 44,558 ratings",(Goodreads Author),and,Want to Read,Want to Read,Rate this book
3271,https://www.goodreads.com/book/show/480479.Under_the_Tuscan_Sun,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320524083i/480479._SY75_.jpg,https://www.goodreads.com/book/show/480479.Under_the_Tuscan_Sun,Under the Tuscan Sun,https://www.goodreads.com/author/show/4826.Frances_Mayes,Frances Mayes," 3.76 avg rating — 317,236 ratings",(Goodreads Author),and,Want to Read,Want to Read,Rate this book
3271,https://www.goodreads.com/book/show/16691600-forever-christian,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1355496284i/16691600._SX50_.jpg,https://www.goodreads.com/book/show/16691600-forever-christian,"Forever, Christian",https://www.goodreads.com/author/show/6522690.Tina_Traverse,Tina Traverse, 4.50 avg rating — 66 ratings,and,and,Want to Read,Want to Read,Rate this book
3271,https://www.goodreads.com/book/show/24283871-you-really-are-full-of-shit-aren-t-you,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1420332117i/24283871._SX50_.jpg,https://www.goodreads.com/book/show/24283871-you-really-are-full-of-shit-aren-t-you,"You Really Are Full of Shit, Aren't You?",https://www.goodreads.com/author/show/6200344.Karl_Wiggins,Karl Wiggins, 4.13 avg rating — 169 ratings,(Goodreads Author),and,Want to Read,Want to Read,Rate this book
3274,https://www.goodreads.com/book/show/5664022,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1304370020i/5664022._SX50_.jpg,https://www.goodreads.com/book/show/5664022,حوار مع صديقي الملحد,https://www.goodreads.com/author/show/871358._,مصطفى محمود," 3.90 avg rating — 31,353 ratings",and,and,Want to Read,Want to Read,Rate this book
3274,https://www.goodreads.com/book/show/112074.Checkmate,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1369492229i/112074._SY75_.jpg,https://www.goodreads.com/book/show/112074.Checkmate,"Checkmate (The Lymond Chronicles, #6)",https://www.goodreads.com/author/show/8361.Dorothy_Dunnett,Dorothy Dunnett," 4.70 avg rating — 3,266 ratings",and,and,Want to Read,Want to Read,Rate this book
3274,https://www.goodreads.com/book/show/7896345-the-gathering,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1277820938i/7896345._SY75_.jpg,https://www.goodreads.com/book/show/7896345-the-gathering,"The Gathering (Darkness Rising, #1)",https://www.goodreads.com/author/show/7581.Kelley_Armstrong,Kelley Armstrong," 4.01 avg rating — 61,048 ratings",(Goodreads Author),and,Want to Read,Want to Read,Rate this book
3277,https://www.goodreads.com/book/show/31093.Lila,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1346459192i/31093._SY75_.jpg,https://www.goodreads.com/book/show/31093.Lila,"Lila: An Inquiry Into Morals (Phaedrus, #2)",https://www.goodreads.com/author/show/401.Robert_M_Pirsig,Robert M. Pirsig," 3.79 avg rating — 6,179 ratings",and,and,Want to Read,Want to Read,Rate this book
3277,https://www.goodreads.com/book/show/38723.The_Feminine_Mystique,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1479777578i/38723._SX50_.jpg,https://www.goodreads.com/book/show/38723.The_Feminine_Mystique,The Feminine Mystique,https://www.goodreads.com/author/show/21798.Betty_Friedan,Betty Friedan," 3.86 avg rating — 23,294 ratings",and,and,Want to Read,Want to Read,Rate this book
3277,https://www.goodreads.com/book/show/9462.Plato,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1415678006i/9462._SX50_.jpg,https://www.goodreads.com/book/show/9462.Plato,Plato: Complete Works,https://www.goodreads.com/author/show/879.Plato,Plato," 4.36 avg rating — 9,709 ratings",and,and,Want to Read,Want to Read,Rate this book
3277,https://www.goodreads.com/book/show/21222015-calico-jack-in-your-garden,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1394324217i/21222015._SY75_.jpg,https://www.goodreads.com/book/show/21222015-calico-jack-in-your-garden,Calico Jack in your Garden,https://www.goodreads.com/author/show/6200344.Karl_Wiggins,Karl Wiggins, 4.20 avg rating — 185 ratings,(Goodreads Author),and,Want to Read,Want to Read,Rate this book
3281,https://www.goodreads.com/book/show/17876.Notes_from_Underground_White_Nights_The_Dream_of_a_Ridiculous_Man_and_Selections_from_The_House_of_the_Dead,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1411241656i/17876._SY75_.jpg,https://www.goodreads.com/book/show/17876.Notes_from_Underground_White_Nights_The_Dream_of_a_Ridiculous_Man_and_Selections_from_The_House_of_the_Dead,"Notes from Underground, White Nights, The Dream of a Ridiculous Man, and Selections from The House of the Dead",https://www.goodreads.com/author/show/3137322.Fyodor_Dostoyevsky,Fyodor Dostoyevsky," 4.18 avg rating — 74,050 ratings",and,and,Want to Read,Want to Read,Rate this book
3282,https://www.goodreads.com/book/show/50667.Little_Big_Man,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1417781825i/50667._SY75_.jpg,https://www.goodreads.com/book/show/50667.Little_Big_Man,Little Big Man,https://www.goodreads.com/author/show/28517.Thomas_Berger,Thomas Berger," 4.25 avg rating — 6,995 ratings",and,and,Want to Read,Want to Read,Rate this book
3283,https://www.goodreads.com/book/show/3374819-the-devouring,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1439853323i/3374819._SY75_.jpg,https://www.goodreads.com/book/show/3374819-the-devouring,"The Devouring (The Devouring, #1)",https://www.goodreads.com/author/show/1423732.Simon_Holt,Simon Holt," 3.92 avg rating — 7,593 ratings",and,and,Want to Read,Want to Read,Rate this book
3283,https://www.goodreads.com/book/show/15717876-the-secret-of-ella-and-micha,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1365638597i/15717876._SX50_.jpg,https://www.goodreads.com/book/show/15717876-the-secret-of-ella-and-micha,"The Secret of Ella and Micha (The Secret, #1)",https://www.goodreads.com/author/show/4601855.Jessica_Sorensen,Jessica Sorensen,"really liked it
 4.00 avg rating — 69,574 ratings",(Goodreads Author),and,Want to Read,Want to Read,Rate this book
3283,https://www.goodreads.com/book/show/13912.A_Beautiful_Mind,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347807703i/13912._SY75_.jpg,https://www.goodreads.com/book/show/13912.A_Beautiful_Mind,A Beautiful Mind,https://www.goodreads.com/author/show/8644.Sylvia_Nasar,Sylvia Nasar," 4.13 avg rating — 125,038 ratings",and,and,Want to Read,Want to Read,Rate this book
3286,https://www.goodreads.com/book/show/757438.The_Man_Who_Planted_Trees,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320556166i/757438._SY75_.jpg,https://www.goodreads.com/book/show/757438.The_Man_Who_Planted_Trees,The Man Who Planted Trees,https://www.goodreads.com/author/show/54103.Jean_Giono,Jean Giono," 4.24 avg rating — 8,724 ratings",and,and,Want to Read,Want to Read,Rate this book
3286,https://www.goodreads.com/book/show/4630.To_Have_and_Have_Not,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1523546270i/4630._SY75_.jpg,https://www.goodreads.com/book/show/4630.To_Have_and_Have_Not,To Have and Have Not,https://www.goodreads.com/author/show/1455.Ernest_Hemingway,Ernest Hemingway," 3.55 avg rating — 25,836 ratings",and,and,Want to Read,Want to Read,Rate this book
3286,https://www.goodreads.com/book/show/54270.Mein_Kampf,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1395618385i/54270._SY75_.jpg,https://www.goodreads.com/book/show/54270.Mein_Kampf,Mein Kampf,https://www.goodreads.com/author/show/30691.Adolf_Hitler,Adolf Hitler," 3.17 avg rating — 35,061 ratings",and,and,Want to Read,Want to Read,Rate this book
3289,https://www.goodreads.com/book/show/376561.Invitation_to_a_Beheading,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1405182507i/376561._SY75_.jpg,https://www.goodreads.com/book/show/376561.Invitation_to_a_Beheading,Invitation to a Beheading,https://www.goodreads.com/author/show/5152.Vladimir_Nabokov,Vladimir Nabokov," 3.90 avg rating — 13,836 ratings",and,and,Want to Read,Want to Read,Rate this book
3289,https://www.goodreads.com/book/show/17162.The_Chocolate_War,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1333120554i/17162._SY75_.jpg,https://www.goodreads.com/book/show/17162.The_Chocolate_War,"The Chocolate War (Chocolate War, #1)",https://www.goodreads.com/author/show/10442.Robert_Cormier,Robert Cormier," 3.49 avg rating — 41,812 ratings",and,and,Want to Read,Want to Read,Rate this book
3291,https://www.goodreads.com/book/show/57727.L_A_Confidential,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348575361i/57727._SY75_.jpg,https://www.goodreads.com/book/show/57727.L_A_Confidential,"L.A. Confidential (L.A. Quartet, #3)",https://www.goodreads.com/author/show/2887.James_Ellroy,James Ellroy," 4.19 avg rating — 31,163 ratings",and,and,Want to Read,Want to Read,Rate this book
3291,https://www.goodreads.com/book/show/22842297-the-bridge-to-caracas,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1406728144i/22842297._SX50_.jpg,https://www.goodreads.com/book/show/22842297-the-bridge-to-caracas,The Bridge To Caracas (The King Trilogy #1),https://www.goodreads.com/author/show/1125279.Stephen_Douglass,Stephen Douglass," 3.50 avg rating — 2,108 ratings",(Goodreads Author),and,Want to Read,Want to Read,Rate this book
3293,https://www.goodreads.com/book/show/7519866-imperial-bedrooms,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1278878105i/7519866._SX50_.jpg,https://www.goodreads.com/book/show/7519866-imperial-bedrooms,Imperial Bedrooms,https://www.goodreads.com/author/show/2751.Bret_Easton_Ellis,Bret Easton Ellis," 3.15 avg rating — 20,309 ratings",and,and,Want to Read,Want to Read,Rate this book
3293,https://www.goodreads.com/book/show/6538757-rock-chick,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1266750153i/6538757._SY75_.jpg,https://www.goodreads.com/book/show/6538757-rock-chick,"Rock Chick (Rock Chick, #1)",https://www.goodreads.com/author/show/2958084.Kristen_Ashley,Kristen Ashley," 4.18 avg rating — 53,401 ratings",(Goodreads Author),and,Want to Read,Want to Read,Rate this book
3293,https://www.goodreads.com/book/show/181087.Mio_My_Son,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388962567i/181087._SY75_.jpg,https://www.goodreads.com/book/show/181087.Mio_My_Son,"Mio, My Son",https://www.goodreads.com/author/show/410653.Astrid_Lindgren,Astrid Lindgren," 4.12 avg rating — 10,511 ratings",and,and,Want to Read,Want to Read,Rate this book
3293,https://www.goodreads.com/book/show/34466922-sleeping-beauties,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1510335748i/34466922._SY75_.jpg,https://www.goodreads.com/book/show/34466922-sleeping-beauties,Sleeping Beauties,https://www.goodreads.com/author/show/3389.Stephen_King,Stephen King," 3.73 avg rating — 67,900 ratings",(Goodreads Author),and,Want to Read,Want to Read,Rate this book
3297,https://www.goodreads.com/book/show/13503109-this-is-how-you-lose-her,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1342596676i/13503109._SX50_.jpg,https://www.goodreads.com/book/show/13503109-this-is-how-you-lose-her,This Is How You Lose Her,https://www.goodreads.com/author/show/55215.Junot_D_az,Junot Díaz," 3.75 avg rating — 92,494 ratings",and,and,Want to Read,Want to Read,Rate this book
3298,https://www.goodreads.com/book/show/40103178-dark-days,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1526059313i/40103178._SY75_.jpg,https://www.goodreads.com/book/show/40103178-dark-days,"Dark Days (Skulduggery Pleasant, #4)",https://www.goodreads.com/author/show/165168.Derek_Landy,Derek Landy," 4.44 avg rating — 18,319 ratings",and,and,Want to Read,Want to Read,Rate this book
3298,https://www.goodreads.com/book/show/206236.The_Power_of_the_Dog,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1467260965i/206236._SY75_.jpg,https://www.goodreads.com/book/show/206236.The_Power_of_the_Dog,The Power of the Dog (Power of the Dog #1),https://www.goodreads.com/author/show/37795.Don_Winslow,Don Winslow," 4.35 avg rating — 30,584 ratings",(Goodreads Author),and,Want to Read,Want to Read,Rate this book
3298,https://www.goodreads.com/book/show/1220507._,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1258877751i/1220507._SX50_.jpg,https://www.goodreads.com/book/show/1220507._,شيكاجو,https://www.goodreads.com/author/show/73947._,علاء الأسواني," 3.42 avg rating — 20,943 ratings",and,and,Want to Read,Want to Read,Rate this book
3301,https://www.goodreads.com/book/show/13522285-the-beginning-of-everything,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1366395005i/13522285._SX50_.jpg,https://www.goodreads.com/book/show/13522285-the-beginning-of-everything,The Beginning of Everything,https://www.goodreads.com/author/show/50568.Robyn_Schneider,Robyn Schneider," 3.75 avg rating — 52,307 ratings",(Goodreads Author),and,Want to Read,Want to Read,Rate this book
3301,https://www.goodreads.com/book/show/40642172-this-savage-song,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1529942103i/40642172._SY75_.jpg,https://www.goodreads.com/book/show/40642172-this-savage-song,"This Savage Song (Monsters of Verity, #1)",https://www.goodreads.com/author/show/3099544.Victoria_Schwab,Victoria Schwab," 4.05 avg rating — 75,335 ratings",(Goodreads Author),and,Want to Read,Want to Read,Rate this book
3303,https://www.goodreads.com/book/show/11597.The_Dark_Half,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1430122353i/11597._SY75_.jpg,https://www.goodreads.com/book/show/11597.The_Dark_Half,The Dark Half,https://www.goodreads.com/author/show/3389.Stephen_King,Stephen King," 3.78 avg rating — 126,357 ratings",(Goodreads Author),and,Want to Read,Want to Read,Rate this book
3304,https://www.goodreads.com/book/show/150037.The_Vile_Village,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1352066958i/150037._SX50_.jpg,https://www.goodreads.com/book/show/150037.The_Vile_Village,"The Vile Village (A Series of Unfortunate Events, #7)",https://www.goodreads.com/author/show/36746.Lemony_Snicket,Lemony Snicket," 3.95 avg rating — 121,076 ratings",(Goodreads Author),and,Want to Read,Want to Read,Rate this book
3304,https://www.goodreads.com/book/show/175510.My_Utmost_for_His_Highest,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1389470852i/175510._SY75_.jpg,https://www.goodreads.com/book/show/175510.My_Utmost_for_His_Highest,My Utmost for His Highest,https://www.goodreads.com/author/show/41469.Oswald_Chambers,Oswald Chambers," 4.36 avg rating — 68,223 ratings",and,and,Want to Read,Want to Read,Rate this book
3304,https://www.goodreads.com/book/show/51721126-passionate-intention,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1582623201i/51721126._SY75_.jpg,https://www.goodreads.com/book/show/51721126-passionate-intention,Passionate Intention,https://www.goodreads.com/author/show/20054640.Belinda_Vale,Belinda Vale, 4.46 avg rating — 610 ratings,(Goodreads Author),and,Want to Read,Want to Read,Rate this book
3307,https://www.goodreads.com/book/show/59780.Cosmicomics,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327975008i/59780._SY75_.jpg,https://www.goodreads.com/book/show/59780.Cosmicomics,Cosmicomics,https://www.goodreads.com/author/show/155517.Italo_Calvino,Italo Calvino," 4.20 avg rating — 15,228 ratings",and,and,Want to Read,Want to Read,Rate this book
3307,https://www.goodreads.com/book/show/1876770.Chrzest_ognia,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1227447656i/1876770._SY75_.jpg,https://www.goodreads.com/book/show/1876770.Chrzest_ognia,"Chrzest ognia (Saga o Wiedźminie, #3)",https://www.goodreads.com/author/show/38569.Andrzej_Sapkowski,Andrzej Sapkowski," 4.30 avg rating — 59,845 ratings",and,and,Want to Read,Want to Read,Rate this book
3309,https://www.goodreads.com/book/show/23960.Glue,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1357448113i/23960._SY75_.jpg,https://www.goodreads.com/book/show/23960.Glue,Glue,https://www.goodreads.com/author/show/5687.Irvine_Welsh,Irvine Welsh," 3.81 avg rating — 13,764 ratings",and,and,Want to Read,Want to Read,Rate this book
3309,https://www.goodreads.com/book/show/17262100-the-lowland,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1366930267i/17262100._SX50_.jpg,https://www.goodreads.com/book/show/17262100-the-lowland,The Lowland,https://www.goodreads.com/author/show/3670.Jhumpa_Lahiri,Jhumpa Lahiri," 3.84 avg rating — 87,090 ratings",and,and,Want to Read,Want to Read,Rate this book
3309,https://www.goodreads.com/book/show/18187013-the-raven-king,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1373489255i/18187013._SX50_.jpg,https://www.goodreads.com/book/show/18187013-the-raven-king,"The Raven King (All for the Game, #2)",https://www.goodreads.com/author/show/6896843.Nora_Sakavic,Nora Sakavic," 4.41 avg rating — 27,595 ratings",(Goodreads Author),and,Want to Read,Want to Read,Rate this book
3312,https://www.goodreads.com/book/show/395182.Lucky_Jim,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1373459729i/395182._SY75_.jpg,https://www.goodreads.com/book/show/395182.Lucky_Jim,Lucky Jim,https://www.goodreads.com/author/show/13078.Kingsley_Amis,Kingsley Amis," 3.77 avg rating — 25,526 ratings",and,and,Want to Read,Want to Read,Rate this book
3313,https://www.goodreads.com/book/show/8709525-iron-crowned,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1291463049i/8709525._SY75_.jpg,https://www.goodreads.com/book/show/8709525-iron-crowned,"Iron Crowned (Dark Swan, #3)",https://www.goodreads.com/author/show/137902.Richelle_Mead,Richelle Mead," 4.06 avg rating — 17,632 ratings",(Goodreads Author),and,Want to Read,Want to Read,Rate this book
3313,https://www.goodreads.com/book/show/113435.Crossroads_of_Twilight,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1408325146i/113435._SY75_.jpg,https://www.goodreads.com/book/show/113435.Crossroads_of_Twilight,"Crossroads of Twilight (The Wheel of Time, #10)",https://www.goodreads.com/author/show/6252.Robert_Jordan,Robert Jordan," 3.81 avg rating — 95,582 ratings",and,and,Want to Read,Want to Read,Rate this book
3313,https://www.goodreads.com/book/show/6443349-percy-jackson-and-the-olympians-boxed-set,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388328927i/6443349._SX50_.jpg,https://www.goodreads.com/book/show/6443349-percy-jackson-and-the-olympians-boxed-set,"Percy Jackson and the Olympians Boxed Set (Percy Jackson and the Olympians, #1-5)",https://www.goodreads.com/author/show/15872.Rick_Riordan,Rick Riordan," 4.59 avg rating — 29,084 ratings",(Goodreads Author),and,Want to Read,Want to Read,Rate this book
3313,https://www.goodreads.com/book/show/8686068-the-devotion-of-suspect-x,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1312051518i/8686068._SY75_.jpg,https://www.goodreads.com/book/show/8686068-the-devotion-of-suspect-x,"The Devotion of Suspect X (Detective Galileo, #1)",https://www.goodreads.com/author/show/117366.Keigo_Higashino,Keigo Higashino," 4.14 avg rating — 34,556 ratings",and,and,Want to Read,Want to Read,Rate this book
3317,https://www.goodreads.com/book/show/138202.Sloppy_Firsts,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1561960037i/138202._SY75_.jpg,https://www.goodreads.com/book/show/138202.Sloppy_Firsts,"Sloppy Firsts (Jessica Darling, #1)",https://www.goodreads.com/author/show/79922.Megan_McCafferty,Megan McCafferty," 3.95 avg rating — 34,985 ratings",(Goodreads Author),and,Want to Read,Want to Read,Rate this book
3317,https://www.goodreads.com/book/show/67513.Touch_the_Dark,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1307391100i/67513._SY75_.jpg,https://www.goodreads.com/book/show/67513.Touch_the_Dark,"Touch the Dark (Cassandra Palmer, #1)",https://www.goodreads.com/author/show/38066.Karen_Chance,Karen Chance," 3.71 avg rating — 34,476 ratings",(Goodreads Author),and,Want to Read,Want to Read,Rate this book
3317,https://www.goodreads.com/book/show/1317181.Harry_Potter_and_the_Order_of_the_Phoenix,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1182710609i/1317181._SX50_.jpg,https://www.goodreads.com/book/show/1317181.Harry_Potter_and_the_Order_of_the_Phoenix,"Harry Potter and the Order of the Phoenix (Harry Potter, #5, Part 1)",https://www.goodreads.com/author/show/1077326.J_K_Rowling,J.K. Rowling," 4.63 avg rating — 113,863 ratings",and,and,Want to Read,Want to Read,Rate this book
3317,https://www.goodreads.com/book/show/7629.The_Good_Soldier_vejk,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1468884268i/7629._SY75_.jpg,https://www.goodreads.com/book/show/7629.The_Good_Soldier_vejk,The Good Soldier Švejk,https://www.goodreads.com/author/show/1774448.Jaroslav_Ha_ek,Jaroslav Hašek," 4.11 avg rating — 15,188 ratings",and,and,Want to Read,Want to Read,Rate this book
3317,https://www.goodreads.com/book/show/18525.Dr_Faustus,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1392156779i/18525._SY75_.jpg,https://www.goodreads.com/book/show/18525.Dr_Faustus,Dr. Faustus,https://www.goodreads.com/author/show/11155.Christopher_Marlowe,Christopher Marlowe," 3.81 avg rating — 55,914 ratings",and,and,Want to Read,Want to Read,Rate this book
3317,https://www.goodreads.com/book/show/15096.Five_Quarters_of_the_Orange,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1583190215i/15096._SY75_.jpg,https://www.goodreads.com/book/show/15096.Five_Quarters_of_the_Orange,Five Quarters of the Orange,https://www.goodreads.com/author/show/9432.Joanne_Harris,Joanne Harris," 3.86 avg rating — 32,282 ratings",(Goodreads Author),and,Want to Read,Want to Read,Rate this book
3317,https://www.goodreads.com/book/show/30194.Goddess_of_Spring,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388187186i/30194._SY75_.jpg,https://www.goodreads.com/book/show/30194.Goddess_of_Spring,"Goddess of Spring (Goddess Summoning, #2)",https://www.goodreads.com/author/show/17015.P_C_Cast,P.C. Cast," 4.20 avg rating — 9,554 ratings",(Goodreads Author),and,Want to Read,Want to Read,Rate this book
3324,https://www.goodreads.com/book/show/1627.Brokeback_Mountain,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442919969i/1627._SY75_.jpg,https://www.goodreads.com/book/show/1627.Brokeback_Mountain,Brokeback Mountain,https://www.goodreads.com/author/show/1262010.Annie_Proulx,Annie Proulx," 3.95 avg rating — 30,840 ratings",and,and,Want to Read,Want to Read,Rate this book
3324,https://www.goodreads.com/book/show/78024.And_Quiet_Flows_the_Don,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1444113702i/78024._SY75_.jpg,https://www.goodreads.com/book/show/78024.And_Quiet_Flows_the_Don,And Quiet Flows the Don,https://www.goodreads.com/author/show/44202.Mikhail_Sholokhov,Mikhail Sholokhov," 4.06 avg rating — 9,529 ratings",and,and,Want to Read,Want to Read,Rate this book
3324,https://www.goodreads.com/book/show/34466963-why-we-sleep,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1556604137i/34466963._SY75_.jpg,https://www.goodreads.com/book/show/34466963-why-we-sleep,Why We Sleep: Unlocking the Power of Sleep and Dreams,https://www.goodreads.com/author/show/17598726.Matthew_Walker,Matthew Walker," 4.37 avg rating — 86,446 ratings",and,and,Want to Read,Want to Read,Rate this book
3327,https://www.goodreads.com/book/show/6249762-bluestar-s-prophecy,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1436587168i/6249762._SX50_.jpg,https://www.goodreads.com/book/show/6249762-bluestar-s-prophecy,"Bluestar's Prophecy (Warriors Super Edition, #2)",https://www.goodreads.com/author/show/27498.Erin_Hunter,Erin Hunter," 4.55 avg rating — 13,458 ratings",and,and,Want to Read,Want to Read,Rate this book
3327,https://www.goodreads.com/book/show/5197.A_Lesson_Before_Dying,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1405866945i/5197._SY75_.jpg,https://www.goodreads.com/book/show/5197.A_Lesson_Before_Dying,A Lesson Before Dying,https://www.goodreads.com/author/show/3533.Ernest_J_Gaines,Ernest J. Gaines," 3.96 avg rating — 51,761 ratings",and,and,Want to Read,Want to Read,Rate this book
3327,https://www.goodreads.com/book/show/22864842-the-queen-of-the-tearling,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1461864815i/22864842._SY75_.jpg,https://www.goodreads.com/book/show/22864842-the-queen-of-the-tearling,"The Queen of the Tearling (The Queen of the Tearling, #1)",https://www.goodreads.com/author/show/6953956.Erika_Johansen,Erika Johansen," 3.99 avg rating — 85,889 ratings",(Goodreads Author),and,Want to Read,Want to Read,Rate this book
3330,https://www.goodreads.com/book/show/40992.Shadow_Claw,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388180510i/40992._SY75_.jpg,https://www.goodreads.com/book/show/40992.Shadow_Claw,Shadow & Claw (The Book of the New Sun #1-2),https://www.goodreads.com/author/show/23069.Gene_Wolfe,Gene Wolfe," 4.02 avg rating — 16,197 ratings",and,and,Want to Read,Want to Read,Rate this book
3330,https://www.goodreads.com/book/show/32435.Phantoms,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386925458i/32435._SY75_.jpg,https://www.goodreads.com/book/show/32435.Phantoms,Phantoms,https://www.goodreads.com/author/show/9355.Dean_Koontz,Dean Koontz," 3.95 avg rating — 66,125 ratings",(Goodreads Author),and,Want to Read,Want to Read,Rate this book
3332,https://www.goodreads.com/book/show/202769.In_the_Night_Garden,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320548374i/202769._SX50_.jpg,https://www.goodreads.com/book/show/202769.In_the_Night_Garden,"In the Night Garden (The Orphan's Tales, #1)",https://www.goodreads.com/author/show/338705.Catherynne_M_Valente,Catherynne M. Valente," 3.97 avg rating — 8,274 ratings",(Goodreads Author),and,Want to Read,Want to Read,Rate this book
3332,https://www.goodreads.com/book/show/9279177-the-lover-s-dictionary,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1312055996i/9279177._SX50_.jpg,https://www.goodreads.com/book/show/9279177-the-lover-s-dictionary,The Lover's Dictionary,https://www.goodreads.com/author/show/11664.David_Levithan,David Levithan," 3.88 avg rating — 43,555 ratings",(Goodreads Author),and,Want to Read,Want to Read,Rate this book
